Rank,Team,Won,Lost,Tied,First NFL Season
1,Dallas Cowboys,520,388,6,1960
2,Green Bay Packers,756,574,38,1921
3,New England Patriots,512,395,9,1960
4,Chicago Bears,769,591,42,1920
5,Baltimore Ravens,214,169,1,1996
6,Miami Dolphins,457,371,4,1966
7,Minnesota Vikings,488,403,11,1961
8,San Francisco 49ers,545,475,14,1950
9,New York Giants,696,608,33,1925
10,Denver Broncos,483,423,10,1960
11,Kansas City Chiefs,481,423,12,1960
12,Pittsburgh Steelers,636,566,22,1933
13,Indianapolis Colts,523,468,7,1953
14,Las Vegas Raiders,473,432,11,1960
15,Seattle Seahawks,355,336,1,1976
16,Los Angeles Rams,577,569,21,1937
17,Washington Redskins,603,603,28,1932
18,Los Angeles Chargers,452,453,11,1960
19,Philadelphia Eagles,586,608,26,1933
20,Carolina Panthers,195,204,1,1995
21,Cleveland Browns,475,500,11,1950
22,Tennessee Titans,440,470,6,1960
23,Buffalo Bills,425,483,8,1960
24,New Orleans Saints,375,438,5,1967
25,Detroit Lions,562,670,33,1930
26,Houston Texans,131,157,0,2002
27,New York Jets,408,500,8,1960
28,Cincinnati Bengals,359,441,4,1968
29,Atlanta Falcons,365,461,6,1966
30,Jacksonville Jaguars,176,224,0,1995
31,Arizona Cardinals,558,763,41,1920
32,Tampa Bay Buccaneers,267,424,1,1976
